id,title,status,stated_by,source,claim,has_non_manual_test,verified_by,note,opinion,decision
R-338,"An expired certificate is a warning you can act on, not a save that fails",covered,agent,F-087 commit 60bfdeb,"The board asks the SERVER'S question about a certificate, not a narrower one. `check_eligibility` has computed `expiring_skills` as `expires_at < upper(p_timerange)` since 0009, and `create_assignment` refuses on it. The board's `certificateGaps` mirrors that comparison exactly --- `dated.expiresAt < endDay`, on the data 0048 added to `board_window` --- so somebody whose certificate has lapsed is marked ineligible BEFORE Create is pressed, drives `needsOverride` under `warn`, and is offered the override box the server will accept. ⭐ AND THE TWO REASONS READ DIFFERENTLY, WHICH IS THE POINT RATHER THAN A DETAIL. ""Never trained"" needs a course booked; ""certificate expired"" needs a renewal, and is named WITH ITS DATE through the app's date seam in the org's chosen format. The old screen printed one sentence for the first and nothing at all for the second, so the second arrived only as a server refusal the screen had no box to answer. ⚠️ WRITTEN DOWN ON 5 SEPT, A DAY AFTER THE CODE SHIPPED (`60bfdeb`, 4 Sept). The work had a test file and no requirement, no session entry and a finding still reading `open` --- found the same way F-087 itself was, by checking a queue item against the code instead of reading its line.",yes,"vitest | src/test/certificateExpiry.test.tsx | cases the boundary both ways (expiring ON the window's last day is valid because the server compares with `<`, the day before is lapsed), an open-ended window, a lapsed training this cell does not ask for being ignored, never-trained and lapsed being disjoint and both reported, and the wording naming the date rather than saying ""not certified""",,Solid — the boundary-both-ways case (expiring exactly at the window edge) is the one most implementations get wrong.,
R-335,"Who may change a plant's settings is one predicate, and the rail is not where it is asked",covered,agent,DEF-0007 session 66 conversation,"A plant's admin may change that plant's settings; only a company admin may change the company defaults. That is `set_node_setting`'s gate --- `app_is_admin() OR app_is_admin_for(node)` --- and the client must answer it with the same expression, `canAdministerPlant` on the chosen plant's path, IN THE PANEL, where the chosen plant is known. The admin rail carries `companyAdminOnly` for exactly one tab, Activity, and the test for that flag is not ""is this screen important"" but ""would the server refuse, or silently do nothing, for EVERY person `adminSectionsFor` admits"". A per-node question fails that test by construction and must not be answered on the rail. ⚠️ STATED BY THE AGENT, FROM THREE THINGS THE MAINTAINER HAD ALREADY DECIDED, and flagged as such because the tester was right that it is the maintainer's call. R-333 is `stated_by: maintainer` and says the tab edits the chosen plant's values; migration 0050 was written with the per-node gate; and `SettingsPanel`'s header describes all three site-admin states and implements them. This row writes down once what those three already implied separately, which is the thing DEF-0007 said was missing. The maintainer overrules it by saying so, and that direction is a migration rather than a flag.",yes,"vitest | src/test/auditAccess.test.tsx | cases one site admin, both tabs, opposite answers -- Settings offered because the write is per node, Activity hidden because the read goes silently empty ;; vitest | src/test/settingsPanel.test.tsx | cases the three states the panel decides once it is reachable -- own plant live, readable-but-not- administered no control and whose place it is, company scope disabled with the reason ;; sql | supabase/tests/73_plant_settings_test.sql | cases P0-P22, the server side of the same predicate ;; vitest | src/test/adminNoGrants.test.tsx | cases N6/N7 (DEF-0008) -- the whole rail as a LIST for a supervisor with no admin grant, and for a company admin so the first cannot pass by the rail emptying; red on the one-line widening of `adminSectionsFor` that the 2103-case suite passed ;; e2e | e2e/signedIn.spec.ts | cases the same three populations in a REAL browser against the real server, grants and profile read -- a company admin's eleven tabs, a site admin offered Settings and not Activity, a supervisor's exact three. The unit cases prove the decision; these prove the decision is what reaches the screen","⛔ THE CLAUSE ABOUT `adminSectionsFor` HAS NO CASE BEHIND IT (DEF-0008, open). The row says the flag's test is ""would the server refuse for EVERY person `adminSectionsFor` admits"", and taking `companyAdminOnly` off Settings put the whole of that tab's gate onto `adminSectionsFor`. Nothing in the suite renders the rail for the population that helper NARROWS. The tester widened its non-admin branch to `[""operators"", ""trainings"", ""matrix"", ""import"", ""products"", ""settings""]` --- a supervisor with no admin grant anywhere offered three tabs the server refuses --- and all 2103 cases stayed green. The behaviour shipped is RIGHT; only the evidence is missing, which is why this is `test-cannot-fail` and not a permission defect. `src/test/defects/DEF-0008.test.tsx` asserts the whole rail as a LIST, because three `toBeTruthy()`s cannot notice a fourth button and a list can. ⭐ CLOSED AND VERIFIED BY THE TESTER, 5 Sept. `cab45d9` added N6/N7 to `adminNoGrants.test.tsx`, and the reproduction was re-run cold at that commit together with four mutations it did not cover: one extra tab sorting AFTER ""operators"" (`cycletimes`), one sorting BEFORE it (`access`), the REMOVAL of a tab the supervisor should keep (`matrix`), and the lock bypassed a layer up in `AdminPage`'s filter rather than in the helper. N6 goes red by name on all five, and the promoted DEF-0007 cases catch the sixth (the `companyAdminOnly` axis). The rail was also read off the running app as five people. This row is back to `covered`.","Solid — proving the SAME predicate is asked by both the rail and the server is the right shape of test for a ""no lurking"" requirement.",
R-336,A pointer in the plan resolves at the other end,covered,agent,DEF-0009 F-093,"`docs/plan.yaml` links its four halves to each other, and each of those links is one fact written from two ends, so it can be held against itself. A stage's `refs` names the sessions that shipped it and those sessions' `shipped` names the stage back; a requirement's `verified_by.file` names a file that is on disk. A pointer that does not resolve is worse than an absent one: it reads as a record and is a guess. ⚠️ STATED BY THE AGENT, from F-093's own sentence --- *""`shipped` on a session is not decoration, it is the only link between a day's work and the shape it belongs to""* --- which states the rule and then leaves seven links unmade. The maintainer overrules it by saying a stage card is prose and not a record, in which case `refs` should carry no session numbers at all rather than wrong ones.",yes,"vitest | src/test/defects/DEF-0009.test.ts | cases every session a stage names as its own agrees that it shipped that stage (7 broken links, all written by 6086c23); the guard on the guard, that there are session refs to check at all, so the first case cannot pass by the links being deleted; and every `verified_by` entry naming a real path names a file that exists (R-239 -> the deleted `src/test/defects/DEF-0007.test.tsx`)","✅ COVERED 5 Sept: DEF-0009 is verified, the pin is green, and every one of the nineteen session refs was re-checked against git rather than against the regenerated prose. ⚠️ Two axes the pin does not walk, recorded rather than left to be rediscovered: 38 sessions carry a `shipped` id whose stage does not name them back (the weak direction is deliberate), and session 63's commit `869e081` is unquoted, so YAML reads it as the number 8.69e+83 and `plan.html` prints it that way --- the only one of the file's 79 shas that does not resolve. Filed with DEF-0009 and `contradicted` while it was open. The requirements and their tests --- the load-bearing half of the file --- were checked one by one across the eight new cards and are right; it is the layer that says WHICH SESSION DID WHAT that is wrong, in four of the eight.","This requirement is really about the plan.yaml file's own internal consistency (a self-referential integrity check) — a good idea, but arguably belongs as a repo convention/lint rather than a numbered product requirement.",
R-D112,The demo world is three generic plants with everything owned,covered,maintainer,§19.72 §19.73 D112,"`dev_demo.sql` clears org 1's seeded content and builds three identically shaped plants (Plant A/B/C → Area → Line → Cell) through `create_node`, with every row owned, at least six rows owned below a root, no run using a product owned outside it, and one supervisor (Ana) granted a single line. The empty ""Standard Plant"" structure is kept as what a new root copies.",yes,"sql | supabase/tests/dev_demo_test.sql | cases D0-D10 (11 cases, run by `scripts/run-sql-test.sh --demo`)","A development fixture rather than product behaviour, and for a long time the reason this was `verified_by: []` — its own file ends in twelve assertions, which are not a suite case. DEF-0006 is what that cost: migration 0044 dropped `runs.status` while the demo went on writing it, the file died at its runs insert, and every instrument stayed green. ⭐ THE ASSERTIONS WERE NOT THE PROBLEM AND WOULD NOT HAVE BEEN THE FIX — one of the twelve counts the runs, and it is exactly this bug; it never fired because it sits at the FOOT of a file that died four hundred lines above it. A fixture cannot grade homework it did not finish. So the APPLY is now the test (`--demo` runs `dev_demo.sql` under ON_ERROR_STOP against a database of its own) and `dev_demo_test.sql` asks the built world this claim's questions from outside it. ⚠️ STILL `contradicted`, WITH COVERAGE ATTACHED, AND THAT IS NOT A CONTRADICTION. DEF-0006 is `fix-claimed`, which the validator counts as open — correctly, because the developer does not get to clear a defect the tester filed. This goes to `covered` when the tester has re-run its own reproduction, not before.","Adequate — really ""the demo seed data is well-formed,"" useful for local dev but low product risk; fine as covered, not urgent.",
R-D113,Placing a person outside their area needs a recorded reason,covered,maintainer,§19.66 §19.75 §19.76 D113,"Anyone who can schedule at a cell (`app_can_edit_node`) may place someone outside their area by setting `assignments.area_override` with an `area_override_reason`. It is its own flag and reason, separate from the training override, so waving through a missing training never also places someone in an area they are not cleared for. The trigger honours it on every write path — `create_assignment`, `move_run`, `apply_split_coverage` and a raw PATCH — and normalises the flag off when the row did not need it. `move_run` pre-checks and names every affected person. The product half has no override.",yes,"sql | supabase/tests/57_area_override_test.sql | cases A6, A7, A17, P3, P4, P14 (17 cases) ;; sql | supabase/tests/upgrade_0030_ (full name not given) | cases 6 checks",,"Solid — 17 cases plus a migration check for a subtle, security-relevant override.",
R-D115,A product belongs to a list of plants,covered,maintainer,§19.81 D115,"A part number is company-wide and may be made at one, several or all plants. `product_sites` keyed `(product_id, node_id)` records where; `products.site_node_id` is dropped. A product is readable when any of its plants is on the reader's branch, and `product_sites` rows only where the reader can read the node. A run or assignment is accepted where any assigned plant covers the cell (`app_product_offered_at`) and refused `not_offered_here` where none does. Operators, skills and shift patterns keep a single owner.",yes,sql | supabase/tests/upgrade_0034_ (full name not given) | cases backfill of one product_sites row per product,Only the backfill upgrade file is named; the read and offering rules themselves have no case named in §19.81.,"Weak: the only verified_by cites a migration file with a name not even given, and just a backfill check — the interesting part of the claim (read-scoping via product_sites) isn't directly exercised; add a dedicated sql test.",
R-001,Each org defines its own hierarchy levels,uncovered,maintainer,§1 §2,An org configures an ordered list of level names of any depth. Exactly one level is flagged schedulable and its nodes become the rows of the board. Nothing in the schema hardcodes level names or depth.,no,,,"add-test (sql/vitest): foundational claim, likely exercised incidentally by the hierarchy-template tests but not linked here — link existing evidence or add a direct case.",
R-002,Only schedulable-level nodes accept runs and assignments,uncovered,agent,§2 D72,Runs and assignments may only be attached to nodes on the schedulable level.,no,,The schedulable-level lock (R-D72) protects existing work; no test is named for refusing a write onto a non-schedulable node directly.,add-test (sql): a core invariant that's surprisingly not directly cited anywhere — check whether 70_hierarchy_test.sql already covers it and just isn't listed.,
R-003,"Renaming a level is a metadata edit, never a migration",uncovered,agent,§2,"Levels can be renamed freely and added at the bottom without any schema change. Inserting a level mid-hierarchy is a guided tool, not a v1 feature.",no,,,Low priority: mostly a design statement about level renaming; a light sql test would be cheap but regression risk is low.,
R-004,Every tenant table carries org_id under row-level security,covered,agent,§3 §9,"Every tenant-scoped table has an org_id column and RLS policies, so isolation holds even if application code drops a WHERE clause.",yes,sql | supabase/tests/40_rls_test.sql,,"Adequate: the claim is a for-all statement (""every tenant table"") a single generic test can't fully prove — consider an audit-style test (like scaleAudit's) that walks the schema for org_id + RLS on every tenant table.",
R-005,Storage keeps exact timestamps; snapping is UI-only,uncovered,agent,§1 §3 §10,"Runs and assignments store precise instants as tstzrange. Fifteen-minute, hourly or shift snapping is purely a client setting and never touches the backend.",no,,,"add-test (sql): a storage-vs-UI separation claim, cheap to verify with one test asserting stored precision survives a UI snap setting.",
R-006,Board loads are one subtree-by-time-window query,uncovered,agent,§3 §11,Every board load asks only for runs and assignments under one subtree that intersect a time window. The UI never fetches all assignments and never refetches a whole schedule on change.,no,,,"add-test (vitest or e2e): the ""one subtree-by-time-window query"" claim is worth pinning with a query-shape assertion so nobody reintroduces a full-schedule refetch.",
R-007,A losing concurrent write gets a 409 and reverts,uncovered,agent,§3 §5 §18.8,When two supervisors race for the same operator exactly one write wins. The loser receives a 409 with the conflict attached and the client reverts its optimistic block with a message naming the conflicting assignment.,no,manual | Force a second 100% assignment for a fully loaded operator; DevTools shows HTTP 409 with error=PT409 (§18.8),,add-test: manual-only evidence can't reliably prove a race condition — this needs an integration/e2e test that fires two concurrent writes and asserts one gets 409.,
R-008,"Phase 1 builds no archive, partitioning, connector or template tables",uncovered,agent,§3 §17,"The migrations must not create assignments_archive, partitions, integration_connections or Copy Week / template tables in Phase 1.",no,,,"Cheap to test via a migration-file lint (assert no CREATE TABLE for the named future tables); alternatively, once Phase 1 is well past, consider retiring this as a requirement rather than testing it forever.",
R-009,"Real-time events are per org-subtree channel, no polling",uncovered,agent,§5 §11,Row-level change events for runs and assignments are broadcast on channels scoped to an org and site subtree. A client subscribes only to the subtree it views and filters to its visible window. Presence rides the same channel. Nothing polls.,no,,,"add-test (e2e/vitest): a significant architecture claim (per-subtree realtime channels, no polling) that deserves direct verification given how easy it is to silently regress into polling.",
R-010,Supabase is the v1 substrate with a designed escape hatch,uncovered,agent,§5,"v1 runs on Supabase (Postgres, RLS, Auth, Realtime). The design depends only on Postgres plus row-event broadcast so the realtime tier can be swapped later without redesign.",no,,,"This reads as a design statement, not a testable product behavior — candidate to move into design-plan.md rather than carry a test obligation here.",
R-011,Skill requirements attach to any node and inherit downward,uncovered,agent,§6 D11,A cell's effective skill requirements are the union of requirements on every ancestor along its path. A requirement on a Line applies to every cell under it.,no,,"§17.2 reports the P1-3a suite caught a mutation of check_eligibility's ancestor containment, but does not name the test file.",add-test (sql): important business logic (union of ancestor skill requirements) worth a direct test.,
R-012,Eligibility checked in the UI and authoritatively at the API,uncovered,agent,§6 §10,"When an operator is picked up, ineligible rows dim and expiring certifications warn, computed client-side. The API check on write is authoritative so no client bug can staff an uncertified operator.",no,,,Overlaps with R-013/R-014/R-338 (eligibility and cert-expiry checks) — candidate to merge/consolidate rather than test as a fourth separate requirement.,
R-013,Certification expiry is checked against the assignment window,uncovered,agent,§6,"Expiry is tested against the assignment's time range, not today. Scheduling someone three weeks out fails if their certification lapses in two.",no,,,Likely already proven by R-338's boundary-both-ways case — recommend linking verified_by to that evidence (or superseding this row by R-338) instead of leaving it uncovered.,
R-014,Eligibility policy is per org: warn (default) or block,uncovered,agent,§6 §15.2,An org chooses whether an ineligible placement is refused outright or allowed with a recorded override. The default is warn.,no,,,Likely already proven by R-331's plant-settings tests (which specifically exercise eligibility_policy) — link that evidence rather than leaving this uncovered as if untested.,
R-015,Syncable tables carry source and external_id; CSV import upserts,uncovered,agent,§7 §19.36,"Operators and products carry source and external_id. CSV import is an upsert keyed on (org_id, external_id) so re-importing an updated export just works, and it is the same pipeline a future connector uses.",no,,§19.36 measured that nodes has no external_id column and products.external_id has no uniqueness constraint; the node import (P1-5h) needs its own migration first.,"Check whether CSV import/sync has actually been built yet; if not, this is ""not yet built"" rather than ""built but untested"" and belongs in the queue, not the coverage ledger, as uncovered.",
R-016,Synced fields are read-only in-app; app-owned fields stay editable,uncovered,agent,§7,Records that came from a sync lock their synced fields in the app. Skills and home node remain editable everywhere.,no,,,Same caveat as R-015 — depends on whether sync/import exists yet.,
R-017,"Deactivation is active=false, never a delete",uncovered,agent,§7,"Operators and products are deactivated, not deleted, so schedule history survives.",no,,,"Likely a duplicate of R-D110 (""Delete keeps the past""), which already has direct sql evidence for exactly this — link or supersede rather than treating as a separate untested requirement.",
R-018,Copy Week always previews conflicts before committing,uncovered,agent,§8,"Copying a week forward is a bulk insert preceded by a mandatory dry-run that lists clean copies, conflicts and references to deactivated operators. The supervisor resolves or skips, then commits. Never a blind paste.",no,,,"Clear duplicate of R-339 (Copy Week), which is extensively covered — link verified_by to 78_copy_week_test.sql or supersede this row by R-339.",
R-019,Named templates store relative placements,uncovered,agent,§8,"A template stores day-of-week plus start and end offsets with operator, product and node references, and stamps onto any future week through the same preview-then-commit flow.",no,,,"Possibly already built and tested — recent commits mention ""week templates"" shipping (R-356 covers exactly this) — check before treating as uncovered; likely stale/duplicate.",
R-020,"Three roles: admin, supervisor, viewer",superseded,agent,§9 §14.3,"A profile has one role of admin, supervisor or viewer. Admins manage hierarchy, skills, integrations and users; supervisors edit schedules within granted subtrees; viewers are read-only.",no,,"D98 (§19.40) moves the role onto a (person, scope) pair so one person can hold several roles.",Superseded by R-D98.,
R-021,A grant is a node and means everything under its path,covered,agent,§9 §14.3,"A subtree grant points at a node and scopes, via its ltree path, the rows a user sees, the roster they assign from and what RLS lets them write. Admins hold a root grant. This is enforced in RLS, not only in the UI.",yes,sql | supabase/tests/40_rls_test.sql,,Solid — a foundational RLS claim with direct sql proof.,
R-022,"The board is an owned virtualized grid, not a chart library",uncovered,agent,§10 D19,"The board is a React and TypeScript component that renders only visible rows and visible time, targeting smooth pan and zoom with hundreds of rows.",no,,,This reads as a design/architecture statement rather than one testable behavior — the actual testable mechanism is R-D19's windowing module; consider folding this into that instead.,
R-023,"Board layout: roster panel, hierarchy rail, rows, time header",uncovered,agent,§10 §15.3,"A collapsible operator panel sits at the far left, then the hierarchy rail, then one row per schedulable node under a time-axis header. Collapsing a group collapses its rows.",no,,,"add-test (e2e/vitest): a structural layout claim, cheap to cover with a light smoke test for the four regions' presence.",
R-024,Snapping adapts to zoom; a modifier key drags free,uncovered,agent,§10 §16.2 D16,"Each zoom level has a default snap (shift at the coarsest, then 1 h, 15 min, 5 min). Holding a modifier key drags to the minute.",no,,,"add-test (vitest/e2e): overlaps with R-D16's zoom/snap values but adds the modifier-key free-drag behavior, which is easy to regress and worth its own case.",
R-025,"Board gestures: create, resize, move, click; all optimistic",uncovered,agent,§10 §5 §18.13,Drag on empty row space creates; dragging block edges resizes; dragging a body moves it in time or across rows and re-checks eligibility live; click opens a details popover. Every mutation applies optimistically and rolls back on 409.,no,,,add-test (e2e): core interaction claim tying directly to R-007's rollback-on-409 — high value given it's the heart of the board's UX.,
R-026,Every board supports both run and direct assignment creation,uncovered,agent,§14.1,Drag-select can create a product run or a direct assignment at any time; a type selector in the creation popover chooses which.,no,,,add-test (vitest/e2e): foundational creation-path claim worth a direct test.,
R-027,The create-mode preference never changes how data renders,uncovered,agent,§14.1,A profile's default_create_mode only pre-selects the popover's type. Two supervisors with different preferences see an identical board.,no,,,"Low priority: a narrow, cosmetic-preference isolation claim — cheap to test but low risk if wrong.",
R-028,A run and a direct assignment may coexist on one cell,uncovered,agent,§14.1,Direct assignments render as standalone operator blocks with a product chip; run-attached ones render as staffing chips under the band. A floater may help a cell mid-run.,no,,,add-test (vitest): foundational rendering claim (two render shapes on one cell) worth a direct test.,
R-029,Efficiency defaults to 100% and must be between 0 and 200%,uncovered,agent,§14.2,assignments.efficiency defaults to 1.000 and is constrained to more than 0 and at most 2. The UI shows a badge on any block that is not 100%.,no,,,"add-test (sql): a DB constraint claim, cheap to verify with one test asserting the CHECK boundaries (0 and 200%).",
R-030,Effective headcount is the sum of efficiencies,uncovered,agent,§14.2,"A run's effective headcount is the sum of its staffing efficiencies, so two operators at 50% satisfy a planned headcount of 1. Understaffing is judged on expected output, not heads.",no,,,"add-test (sql/vitest): core scheduling math (sum of efficiencies), easy to get subtly wrong — worth a direct test.",
R-031,A target is a window total; unset renders NA,uncovered,maintainer,§14.2,"target_qty is a total for the assignment window, not a rate, with free-text units. Resizing an assignment that carries a target prompts keep-total or scale-proportionally.",no,,"QUALIFIED BY R-316 (0040). ""Unset renders NA"" now reads ""unset renders the standard the cell's cycle time implies, and NA only when there is no cycle time"". target_qty itself is unchanged — still a window total, still the human's explicit override, still null when nothing was typed. The keep-total-or-scale prompt on resize is still unbuilt and still queued; note that it only ever applied to a TYPED target, and a derived one already follows a resize by being recomputed.",add-test (vitest): the resize-prompt behavior (keep-total vs. scale-proportionally) is meaningful UX logic worth pinning.,
R-032,The timeline is continuous and past edits are allowed and audited,uncovered,agent,§14.4 §14.5,The time axis scrolls across days in both directions. Editing the past is allowed in v1 and always audit-logged.,no,,,add-test (sql/vitest): worth testing together with R-D9's audit trigger — a past-dated write should succeed AND produce an audit_log row.,
R-033,An operator's instantaneous load may not exceed the capacity cap,covered,agent,§15.1 D2,At any instant the sum of an operator's non-cancelled assignment efficiencies must not exceed the org's cap (default 1.0). Split coverage such as 50/50 is legal; full double-booking is still refused.,yes,sql | supabase/tests/20_capacity_test.sql,,"Solid — the core capacity rule, already well tested.",
R-034,Capacity trigger uses a per-operator lock and peak math,covered,agent,§15.1,"The check takes an advisory lock per operator so concurrent writes stay safe, and it evaluates the peak at the new range's start and at the starts of overlapping assignments, not a naive sum of overlapping rows.",yes,sql | supabase/tests/20_capacity_test.sql,,Solid — good that the peak-not-naive-sum subtlety is specifically named as what's tested.,
R-035,"Exceeding capacity opens a split-coverage popover, not a dead end",uncovered,agent,§15.1 §18.13,"A drop that would exceed capacity opens a popover listing the operator's overlapping assignments with editable efficiencies, a live peak indicator and a Split evenly action. Confirm stays disabled while the peak exceeds the cap; cancelling reverts.",no,,"§18.13: the split flow is reachable from a create or a panel drop but not from moving an existing chip, because apply_split_coverage cannot carry a timerange.","add-test (vitest): meaningful UI logic (live peak indicator, disabled Confirm) worth pinning directly.",
R-036,Split evenly never spreads shares by more than one unit,uncovered,agent,§18.13,An even split gives one extra unit to the first remainder participants so max share minus min share is at most 1 for any count and cap (three-way at 100% is 34/33/33).,no,,§18.13 says a property test caught the bug but does not name the test file.,add-test (vitest): a pure remainder-distribution function — cheap and high-value to unit test as a property (max−min ≤ 1 for any count/cap).,
R-037,A run drags to another cell with its crew,covered,agent,§15.2 D4,"A run moves to another cell like any block. The target must have no overlapping run, the crew moves with it, every crew member is re-checked for eligibility, and capacity is unaffected because times do not change.",yes,sql | supabase/tests/82_run_keeps_its_crew_test.sql | cases RK1 a raw UPDATE of a run's cell with crew attached is refused at commit with run_moved_without_crew and the run stays; RK2 a crewless run still moves; RK3 move_run carries the crew and passes the deferred check; RK4 move_run refused under block leaves run and crew in place ;; vitest | src/test/defects/DEF-0014.test.ts | cases the last trigger set on runs includes one firing on UPDATE OF node_id whose function reads assignments (the migration-text half; RK1 is the behaviour),"⛔ CONTRADICTED 6 Sept by DEF-0014 (tester, found first by the developer's reviewer in session 78): a plain UPDATE of runs.node_id as a site admin moves the run and leaves its crew on the old cell --- rows=1, no error, run on cell_5 and crew on cell_1 read back. Nothing on the runs side reads assignments; the invariant is enforced on the crew's side only. The pin reads the migrations for a runs-side guard. ⚠️ FIX-CLAIMED in `169c7e7` (session 81). 0059 puts a DEFERRED constraint trigger on the runs side: at commit, a run whose crew is not on its cell is refused with `run_moved_without_crew`. Deferred so `move_run`, which moves the run and then each crew row in one transaction, passes at commit, while a bare update over the network, which is its own transaction, is refused. 6 cases in `82_run_keeps_its_crew_test.sql`; the pin is green; the defect's own reproduction replayed on the live database. ✅ VERIFIED 6 Sept by the tester (session 82): the reproduction run TO COMMIT as Dana --- rows=1 at statement time, then `ERROR ... 1 crew row(s) did not follow` with reason `run_moved_without_crew` at COMMIT, run and crew both read back on cell_1; over PostgREST the same PATCH is `HTTP/1.1 409` with the PT409 body. 0059 with the trigger stripped: 82 reads `FAIL RK1`; not deferred: `FAIL RK3` (move_run itself refused mid-move). move_run still carries the crew through the area door, flags an ineligible member under warn, refuses under block, and refuses a cross-plant target with nothing moved.",Solid — covers the interesting cases including the raw-UPDATE-bypass danger.,
R-038,Roster entries show assignment count and dim when fully allocated,uncovered,agent,§15.3,"Each roster entry shows avatar, name, skill badges and a count pill with a tooltip listing the operator's assignments in the loaded window. Operators at full allocation render dimmed.",no,,,"add-test (vitest): a light test for the dimming threshold and tooltip content, tying to R-033's capacity rule; low-to-medium priority.",
R-039,Shift templates attach to any node and resolve nearest-ancestor,covered,maintainer,§16.1 D12,"A shift template is a named daily pattern of shifts, each with breaks. It attaches to any node and inherits downward; the nearest ancestor with a template wins.",yes,"sql | supabase/tests/84_shift_pattern_resolves_upward_test.sql | cases migration 0061 (DEF-0016): resolve_shift_template as a line supervisor granted only her line answers the plant's template for the line and its cells, board_window carries the shift templates and the node-shift map for her, and the resolver still refuses a node outside her org ;; vitest | src/test/defects/DEF-0016.test.ts | cases the last definition of resolve_shift_template in the migrations is SECURITY DEFINER, and the reader can see the existing definer on app_resolve_node_setting ;; e2e | e2e/roleWalk.spec.ts | cases Ana's board carries the same shift chips as Dana's, and Marco's the same as Quinn's","⛔ CONTRADICTED 6 Sept by DEF-0016 (tester, major): Plant A's template is attached at plant_a and Line 1 inherits it for Dana --- break band, dashed boundary, three shift chips in the create form --- but for Ana, granted only Line 1, `resolve_shift_template(line_1)` answers NULL and `board_window` sends `node_shift_map` and `shift_templates` empty, so her board has no pattern at all and the create form defaults to 00:00–04:00. The resolver is SECURITY INVOKER and the ancestor node and its attachment row are filtered away by RLS; the same question was answered for settings by making `app_resolve_node_setting` definer (0050) and for people by `app_operator_homes` (0058). The pin reads the migrations for the resolver's security clause. ⚠️ FIX-CLAIMED in `eff6fff` (session 83). 0061 re-emits the resolver whole from its last definition (0005) as a SECURITY DEFINER with a pinned search path and the org term first, so a line supervisor resolves the plant's pattern for her line and cells, another company's node answers NULL, and a bogus uuid answers NULL. Eight cases in `84_shift_pattern_resolves_upward_test.sql`, red before and green after; the pin green; replayed live and driven in the browser as Ana, bands and boundaries drawn and the three shift chips offered. The role walk (`e2e/roleWalk.spec.ts`) now asserts Ana's board offers exactly Dana's shift chips. Stays `contradicted` until the tester re-runs.","Solid — sql/vitest/e2e together, and directly references the DEF-0016 lesson (invoker vs. definer) being applied correctly.",
R-040,Shift times are minutes from midnight; overnight starts the day,uncovered,maintainer,§16.1,"start_min is 0–1439 and end_min may exceed 1440 to express an overnight shift, which belongs to the day it starts. Breaks use the same coordinates and must lie inside their shift.",no,,,add-test (sql): overnight wraparound and day-of-shift attribution is an easy edge case to get wrong — worth a direct test.,
R-041,Breaks render as a neutral hatched band; shifts as dashed boundaries,uncovered,agent,§16.2,Breaks draw in the standard break colour beneath assignments with a tooltip naming the break. Shift boundaries draw as labelled dashed verticals and off-shift time gets a faint wash. Adjacent rows may legitimately show different stripes.,no,,,"add-test (vitest): a visual/rendering claim, cheap to cover with a couple of snapshot-style assertions; low risk otherwise.",
R-042,Breaks are display-only in v1,uncovered,agent,§16.2 §16.4,Breaks do not block assignments and are not subtracted from targets or capacity.,no,,"NARROWED BY R-316 (0040). Breaks ARE now subtracted from the DERIVED default target — that is the maintainer's own formula, ""(how much time a person is assigned - breaks) / standard cycle time"". Everything else in this row still holds: breaks do not block an assignment, are not subtracted from capacity, and are not subtracted from a target a human typed. The subtraction is a display computation over the cell's resolved shift pattern (standardTarget.ts), not a stored or enforced quantity.",add-test (sql/vitest): a negative claim (breaks don't affect capacity math) worth pinning since it's easy to accidentally wire in later.,
R-043,Compact zoom snaps to shift boundaries and offers full-shift quick actions,uncovered,agent,§16.2,At Compact zoom drag-select snaps to shift boundaries and the creation popover offers one-click whole-shift creation for that row's pattern.,no,,,"add-test (vitest/e2e): meaningful interaction, moderate priority.",
R-044,Redefining shifts never touches existing assignments,uncovered,agent,§16.3,Shift edits apply to the whole subtree immediately as a rendering and snapping layer over exact-timestamp assignments. Schedule data is never rewritten by a shift change.,no,,,add-test (sql): an important data-integrity claim — worth verifying assignment rows are literally untouched after a shift-template edit.,
R-045,Any admin edits any shift template,superseded,agent,§16.3,"Shift configuration is org-wide admin surface: edit names and times, add or remove breaks, re-point any node's template, with breaks-inside-shift and non-overlap validated on save.",no,,"§16.3 marks this superseded in part by D101 (§19.59, migration 0023): patterns are site-owned and a site admin edits their own; unowned patterns stay company-wide. Nearest-ancestor resolution is unchanged.","Marked superseded but superseded_by is empty, unlike every other superseded row in this file — worth adding the link (looks like R-D101, the per-site shift rule).",
